,peopleCd,peopleNm,repRoleNm,filmoNames,movieCd
45461,10057323,이정표,감독,휴가,20209143
45462,10057323,이정표,감독,휴가,20167102
45469,20203375,오윤동,감독,몬스타엑스 : 더 드리밍,20211413
45504,20378736,황형근,감독,뫼비우스,20201748
45505,20378736,황형근,감독,뫼비우스,20139461
45506,20378697,최영주,감독,뫼비우스,20201748
45507,20378697,최영주,감독,뫼비우스,20139461
45508,20378696,김영,감독,뫼비우스,20201748
45509,20378696,김영,감독,뫼비우스,20139461
45510,20166961,황규일,감독,뫼비우스,20201748
45511,20166961,황규일,감독,뫼비우스,20139461
45512,20311011,이소연,감독,뫼비우스,20201748
45513,20311011,이소연,감독,뫼비우스,20139461
45514,20208686,번가남,감독,뫼비우스,20201748
45515,20208686,번가남,감독,뫼비우스,20139461
45516,10003696,김기덕,감독,뫼비우스,20201748
45517,10003696,김기덕,감독,뫼비우스,20139461
45518,20182772,고형동,감독,뫼비우스,20201748
45519,20182772,고형동,감독,뫼비우스,20139461
45536,10054453,윤인호,감독,아홉살 인생,20040496
45546,10029227,박종원,감독,파라다이스빌라,20000053
45547,10054469,윤재연,감독,파라다이스빌라,20000053
45551,10005731,김주만,감독,마지막 시도,19980039
45552,10005615,김정철,감독,마지막 시도,19980039
45566,10005731,김주만,감독,7인의 새벽,20010048
45567,20113335,이윤석,감독,7인의 새벽,20010048
45573,20214911,박소현,감독,사막을 건너 호수를 지나,20195959
45574,10036784,손경화,감독,사막을 건너 호수를 지나,20195959
45575,20163808,이채민,감독,사막을 건너 호수를 지나,20195959
45608,20218851,임영훈,감독,식구,20177534
45692,10060574,장태령,감독,마마 앤드 파파,20100260
45696,20189026,이병기,감독,총을 들지 않는 사람들: 금기에 도전,20207569
45697,10040563,신임호,감독,총을 들지 않는 사람들: 금기에 도전,20207569
45698,10006478,김환태,감독,총을 들지 않는 사람들: 금기에 도전,20207569
45716,20290510,현승휘,감독,숏버스 섬뜩행,20211195
45717,20299313,강다연,감독,숏버스 섬뜩행,20211195
45718,20310169,이길우,감독,숏버스 섬뜩행,20211195
45719,20309910,김상규,감독,숏버스 섬뜩행,20211195
45720,20299277,조승원,감독,숏버스 섬뜩행,20211195
45721,20214310,전민혁,감독,숏버스 섬뜩행,20211195
