,movieCd,auditNo,watchGradeNm,watchCd
4060,19980173,K98-121,모든 관람객이 관람할 수 있는 등급,all
4061,20090207,2009-F118 ,12세이상관람가,12
4062,20070127,2007-FDVD1,12세이상관람가,12
4063,19750051,,15세이상관람가,15
4064,19980204,K98-179,18세관람가,19
4065,20100780,95-360,고등학생이상관람가,15
4066,20100795,2010-F278,청소년관람불가,19
4067,19990177,K98-304,18세 미만인 자는 관람할 수 없는 등급,19
4068,20000122,99-F135,18세관람가,19
4069,20090923,2010-F35,12세이상관람가,12
4070,20133141,2013-MF00685 ,15세이상관람가,15
4071,20090175,2009-F82,12세이상관람가,12
4072,20060021,2006-F014,12세관람가,12
4073,19970099,97-63,연소자관람불가,19
4074,19960160,96-137,고등학생이상관람가,15
4075,19970247,97-43,고등학생이상관람가,15
4076,19940161,94-177,청소년관람불가,19
4077,19930182,93-215,연소자관람불가,19
4078,20090205,2009-F97,12세이상관람가,12
4079,20090063,2009-F31,청소년관람불가,19
4080,20070555,2007-F390 ,12세이상관람가,12
4081,20070495,2007-F358,청소년관람불가,19
4082,20060087,2006-F079,15세관람가,15
4083,20040798,2004-F368,18세관람가,19
4084,20040573,2004-F190,15세관람가,15
4085,20121621,2013-MF00107 ,12세이상관람가,12
4086,20090203,2009-F109,15세이상관람가,15
4087,20070351,2007-F319,15세이상관람가,15
4088,20040479,2004-F055,15세관람가,15
4089,19980231,K98-114,15세 미만인 자는 관람할 수 없는 등급 ,15
4090,19990114,K98-315,12세 미만인 자는 관람할 수 없는 등급,12
4091,19960224,96-216,고등학생이상관람가,15
4092,19960096,96-27,고등학생이상관람가,15
4093,20100991,2010-F364 ,15세이상관람가,15
4094,19920077,92-105,연소자관람불가,19
4095,19880020,88-7,중학생이상관람가,12
4096,19820018,6006,연소자관람불가,19
4097,19768220,,,all
4098,19760100,,12세이상관람가,12
4099,19840038,6252,연소자관람가,all
4100,19840030,,연소자관람불가,19
4101,19840004,6231,국민학생관람불가,12
4102,19800076,5917,연소자관람가,all
4103,19799026,,국민학생관람불가,12
4104,19790010,,국민학생관람불가,12
4105,19760034,,12세이상관람가,12
4106,19970041,97-139,연소자관람불가,19
4107,19950033,95-78,연소자관람불가,19
4108,20050123,2005-F161,18세관람가,19
4109,19910043,91-15,연소자관람가,all
4110,19890055,89-243,고등학생이상관람가,15
4111,19890029,89-37,연소자관람불가,19
4112,19860060,86-159,연소자관람불가,19
4113,19850085,,국민학생관람불가,12
4114,20100192,2010-B169,청소년관람불가,19
4115,19910076,91-300,연소자관람불가,19
4116,19880038,88-156,연소자관람불가,19
4117,19940015,94-373,연소자관람불가,19
4118,19960039,96-214,연소자관람불가,19
4119,19840042,,연소자관람가,all
4120,19580056,,,all
4121,19890052,88-321,고등학생이상관람가,15
4122,19580073,,,all
4123,19830048,6165,연소자관람불가,19
4124,19920071,92-84,연소자관람불가,19
4125,19900082,90-262,연소자관람불가,19
4126,19890062,89-92,연소자관람불가,19
4127,19840058,,연소자관람불가,19
4128,19810038,6021,연소자관람불가,19
4129,19800028,,국민학생관람불가,12
4130,19820064,6099,국민학생관람불가,12
4131,19810039,6000,국민학생관람불가,12
4132,20141111,2014-MF01086 ,전체관람가,all
4133,19930011,93-147,연소자관람불가,19
